ktc_low;ktc_high;tot_erosion;tot_sedimentation;sed_river;sed_noriver;sed_buffer;sed_sewerin;sed_openwater;outlet_1;outlet_2
8.00;14.00;-5110243871.27;4077293131.95;2513789.18;93394.25;624779.80;2576984.10;;2512939.75;0
8.00;15.00;-5140673637.80;4100985566.42;2636297.55;96494.10;640907.66;2685928.62;;2635447.75;0
8.00;16.00;-5172613957.87;4125932094.45;2756349.27;99395.56;656652.33;2791275.84;;2755499.25;0
8.00;17.00;-5206010719.74;4152085847.83;2872173.19;102197.24;671991.85;2894564.06;;2871321.75;0
8.00;18.00;-5240803493.45;4179393938.84;2984682.53;104926.07;687192.37;2994427.50;;2983833;0
8.00;19.00;-5276936172.58;4207805843.43;3094531.66;107587.29;702145.29;3091857.96;;3093682;0
8.00;20.00;-5314356343.85;4237272179.24;3203251.46;110143.46;716698.72;3188246.75;;3202403.25;0
8.00;21.00;-5353013669.87;4267748221.16;3308803.23;112639.56;730791.77;3283091.92;;3307955.25;0
8.00;22.00;-5392851146.92;4299182060.39;3412315.03;115102.15;744797.71;3375115.27;;3411466.5;0
8.00;23.00;-5433807174.47;4331514778.62;3514788.14;117536.03;758600.66;3465645.51;;3513940;0
8.00;24.00;-5475821009.62;4364690002.18;3616374.70;119936.84;771645.71;3553438.66;;3615526.75;0
8.00;25.00;-5518836558.73;4398657014.67;3716446.42;122087.50;784327.79;3638509.85;;3715595.75;0
9.00;9.00;-5538929094.11;4413729878.05;1850288.49;73367.31;542525.82;1975806.09;;1849341;0
9.00;10.00;-5560908599.01;4430335745.17;2005205.36;78025.52;570120.41;2118089.84;;2004258.75;0
9.00;11.00;-5584704080.03;4448425135.18;2151645.02;82497.71;593960.35;2253940.06;;2150697.25;0
9.00;12.00;-5610263040.05;4467962266.87;2293078.74;86588.50;616094.75;2383833.44;;2292132.25;0
9.00;13.00;-5637514352.39;4488895779.94;2425887.95;90196.69;636644.56;2506761.97;;2424941.25;0
9.00;14.00;-5666388862.40;4511174509.25;2551918.12;93438.86;654774.15;2622920.54;;2550971.75;0
